num,txt_shot,txt_detail,percent,category
10,อุปสรรคของชีวิต,เป็นคนมีความมั่นใจในตัวเองสูง เป็นคนจริงจังซีเรียสทุกเรื่อง มีความทะเยอทะยาน กล้าได้กล้าเสีย ชอบของแปลกใหม่ ไม่ชอบซ้ำแบบใคร เป็นคนถือเกียรติ ไม่ชอบอยู่ใต้บังคับบัญชาของใคร ไม่ค่อยนุ่มนวล ชีวิตมักมีอุปสรรค จับงานอะไรมักจะเจอคู่แข่งที่เก่งกาจ มักมีศัตรูปองร้าย บริวารมักให้โทษ ด้านสุขภาพอาจมีโรคภัยไข้เจ็บเบียดเบียนได้ อย่างไรก็ดี ชีวิตอาจประสบความสำเร็จได้อยู่ ขึ้นอยู่กับการตัดสินใจในการเลือกทางเดินชีวิตของตัวเอง ต้องมีความระมัดระวังรอบคอบให้มาก,0,ประมาท ชีวิตอุปสรรค
11,ความขัดแย้งในตัวเอง,ชะตาชีวิตมักดีตอนต้นแต่แผ่วปลาย เป็นคนที่ต้องต่อสู้กับอุปสรรค และมักทำคุณคนไม่ขึ้น เป็นคนเข้าใจยาก มีบุคลิกสองอย่างขัดแย้งกัน การแสดงออกภายนอกอ่อนหวาน เรียบร้อย เป็นระเบียบ แต่ภายในแข็งกร้าว ดื้อดึงไม่ยอมใคร เป็นคนที่มักจะซ่อนบุคลิกลักษณะอันแท้จริงไว้ภายใน ซึ่งทำให้คนอื่นอ่านยาก มักจะเป็นคนหลงตัวเอง ทำอะไรชอบเอาตัวเองเป็นหลัก ดื้อรั้นอย่างหนัก ถ้าปักใจอะไรแล้วยากที่จะเปลี่ยนแปลงได้ รักพวกพ้อง บางครั้งจะอยู่ในสถานการณ์ถูกพวกมากลากไป จะเดือดร้อนเพราะเพื่อนพ้อง ชีวิตต้องต่อสู้ดิ้นรนฟันฝ่าอุปสรรคด้วยลำแข้งตัวเองตลอด,0,ประมาท ชีวิตอุปสรรค
12,คนสองบุคลิก,เลข 1 ดาวอาทิตย์ธาตุไฟ กับเลข 2 ดาวจันทร์ธาตุน้ำ เมื่อมาอยู่รวมกันจึงทำให้มีอารมณ์ขัดแย้งกัน ผู้อยู่ใต้อิทธิพลของเลขนี้ มักเป็นคนสองบุคลิก บางครั้งดื้อรั้น มุทะลุดุดัน บางครั้งอ่อนโยน ว่าง่ายเชื่อฟัง เวลาที่อยากเอาชนะใครจะต้องเอาชนะให้ได้ไม่ยอมคน ชอบการเอาชนะไม่ยอมสยบใครง่ายๆ ถ้าหลงรักใครจะหลงอย่างไม่ลืมหูลืมตา เมื่ออกหักจึงส่งผลให้ทุกข์หนักสาหัสสากรรจ์ ต้องระวังชีวิตจะขึ้นลงอย่างรวดเร็ว หาความแน่นอนไม่ค่อยได้,0,ประมาท ความเครียด
13,การเปลี่ยนแปลงทั้งดีและร้ายแบบฉับพลัน,เกิดได้ทั้งเรื่องดีและเรื่องร้าย ในลักษณะเกิดขึ้นอย่างฉับพลัน มักจะมีการเปลี่ยนแปลงอย่างรวดเร็วทั้งดีและร้าย มีโอกาสได้ลาภลอยแต่ก็ต้องหมดสิ้นไปอย่างรวดเร็วไม่คงทน หรือบางครั้งลาภที่ได้ก็เป็นแบบทุกขลาภ ได้ลาภมาแต่ต้องทุกข์ใจด้วย ให้ระมัดระวังอุบัติเหตุ จะมีโอกาสเกิดการพลัดพรากจากครอบครัว ความรักมักมีอุปสรรคไม่ราบรื่น มีความทุกข์ในใจที่บอกใครไม่ได้เสมอ เดินทางบ่อย อยู่กับที่ไม่เป็น,0,ประมาท
14,พลังอำนาจมหัศจรรย์,เป็นเลขดีมาก มีชีวิตที่ประสบความสำเร็จอย่างมั่นคง ชะตาชีวิตมักมีความรุ่งโรจน์ มีโอกาสก้าวหน้าได้อย่างรวดเร็วทางด้านหน้าที่การงาน และธุรกิจการค้า มีวาทะศิลป์ในการติดต่อสื่อสารกับผู้อื่น มีความรู้สติปัญญาเหนือคนทั่วไป สามารถแก้ไขปัญหาเฉพาะหน้าได้เก่ง มีสติปัญญาไหวพริบดี สมองเฉียบแหลมว่องไว อิทธิพลของเลขนี้มักจะนำพาไปสู่ความสำเร็จที่ยิ่งใหญ่ มักเกี่ยวข้องกับต่างประเทศ เช่น ค้าขายกับต่างประเทศ ทำงานติดต่อกับต่างประเทศ หรือศึกษาต่างประเทศ เป็นต้น ขณะที่ผลรวมเลข ๑ กับ ๔ คือเลข ๕ ดาวพฤหัสบดี มักส่งผลให้เจ้าชะตาชอบศึกษาหาความรู้ ไขว่คว้าค้นหาความก้าวหน้าให้กับชีวิต ยึดถือความถูกต้อง ชอบความยุติธรรม ซื่อสัตย์ ด้านความรักก็มักราบรื่น ได้คู่ที่ดี,1,การเงิน การเรียน
15,ความสุขและการสนับสนุน,เป็นเลขดีมาก เลข 1 และ 5 รวมกันได้ 6 ดาวศุภโชค โภคทรัพย์ มักจะมีโชคดีทางการเงิน เรื่องทรัพย์สิน เงินทอง จะสามารถหามาได้โดยง่าย มีเสน่ห์ เป็นที่รักใคร่ มีมนุษย์สัมพันธ์ดี มักมีผู้สนับสนุน อุปถัมภ์ค้ำชูอยู่เสมอ นอกจากนี้ เลข ๑๕ ยังเป็นเลขคู่มิตร เป็นดาวคู่แห่งปัญญา มักจะส่งผลให้เจ้าชะตามีปัญญาดี มีปฏิภาณไหวพริบ ทันโลก เรียนรู้ไว จึงมักจะประสบความสำเร็จด้านการงาน กิจการธุรกิจ ชีวิตมักจะร่ำรวยรุ่งเรืองดี,1,การเงิน ความรัก การเรียน
16,ชีวิตที่ต้องฝ่าฟัน,ชีวิตพบกับความสำเร็จอย่างโลดโผน มีชื่อเสียง มีอำนาจแบบชนิดคาดไม่ถึง มีลูกน้องมาก จะได้ลาภหรือตำแหน่งใหญ่โต แต่ต้องระวังปัญหาต่าง ๆ ที่เกิดขึ้นแบบไม่คาดฝันเช่นเดียวกัน อาจโดนคนใกล้ชิดหักหลัง มักมีศัตรูมาก และสุดท้ายมักจะแพ้ภัยศัตรู เป็นคนที่มีความร้อนรุ่มในใจเสมอ มีอุปสรรคเยอะ จะทำอะไรสำเร็จต้องเหน็ดเหนื่อยอย่างมากก่อนจึงจะสำเร็จ,1,การงาน การเรียน
17,ความไม่แน่นอนของชีวิต,เลข 1 และเลข 7 คู่กัน มักนำมาซึ่งความรุ่มร้อน ต่อสู้ วุ่นวาย แต่เป็นผู้มีสติปัญญาดี เข้าใจอะไรได้ง่าย สามารถวิเคราะห์คาดการณ์หยั่งรู้เหตุการณ์ล่วงหน้าได้ ชีวิตจึงมีโอกาสประสบความสำเร็จ แต่มักจะพบกับอุปสรรคหรือสิ่งที่ขัดขวางผลสำเร็จ เมื่อถึงคราวก้าวหน้าก็มักมีอุปสรรคเสมอ เนื่องจากผู้ใหญ่ไม่ให้การอุปถัมถ์ช่วยเหลือ มักจะถูกผู้ใหญ่กดดันและให้โทษเสมอๆ ทำให้ชีวิตขึ้นๆลงๆ ไม่แน่นอน เมื่อครั้งรับตำแหน่งใหญ่โต อาจจะโดนทำให้ตกจากตำแหน่งได้ หรือไม่ก็มักจะถูกแย่งตำแหน่ง หน้าที่การงานมักจะไม่ยั่งยืนถาวร เลข ๑๗ ไม่เหมาะกับสตรี เพราะมักจะทำให้เกิดอุปสรรคเรื่องคู่ครอง,0,ชีวิตอุปสรรค ความเครียด
18,ความไม่แน่นอนของชีวิต,ไม่มีความมั่นคงในชีวิต ชีวิตมักไม่แน่นอน มักอยู่ไม่ติดที่ มีการโยกย้าย เปลี่ยนแปลงอยู่บ่อยๆ มักจะพบกับสิ่งไม่คาดคิดอยู่เสมอ ช่วงเวลาที่เจริญมักจะรุ่งเรืองได้สักพัก และมักมีเหตุปัจจัยให้ตกต่ำลงอีกเสมอ ความสำเร็จจะมีเป็นช่วงๆสลับกับการตกต่ำ ดังนั้น จึงควรคิดและวางแผนชีวิตอย่างรอบคอบ เรื่องความรักมักไม่ราบรื่น มักพบเจออุปสรรคปัญหา อาจต้องพลัดพราก หรือไร้คู่ เรื่องการงาน ไม่เหมาะกับอาชีพที่ทำงานอยู่กับที่ ควรทำงานเกี่ยวข้องกับต่างประเทศ เหมาะกับงานที่จะต้องเดินทางตลอด,0,ชีวิตอุปสรรค มีปัญหาด้านการเงิน
19,ความสำเร็จ เจริญรุ่งเรือง,ประสบความสำเร็จอย่างงดงาม มีสติปัญญาดี ฉลาดหลักแหลม มีความสุขุมรอบคอบ มีความสามารถโดดเด่น เป็นเลขที่ให้คุณในด้านการงาน มักจะเจริญก้าวหน้าในหน้าที่การงานอย่างรวดเร็ว มีตำแหน่งใหญ่โตในหน้าที่การงาน หรือหากทำธุรกิจ กิจการก็มักเจริญรุ่งเรือง เฟื่องฟู มักได้รับการอุปถัมภ์จากผู้ใหญ่ หรือผู้มีอำนาจให้การสนับสนุน จะได้รับเกียรติอย่างสูงจากสังคม ชอบศึกษาหาความรู้และมีสิ่งศักดิ์สิทธิ์คุ้มครอง เลข ๑๙ ถือว่าเป็นเลขนำโชค จะส่งผลดีให้อนาคตพบกับความสำเร็จที่ยิ่งใหญ่,1,การงาน
20,ความสำเร็จจากแรงสนับสนุน,เป็นเลขแห่งจินตนาการและความคิดสร้างสรรค์ มักมีจินตนาการกว้างไกลมาก มีความคิดสร้างสรรค์ล้ำเลิศกว่าบุคคลทั่วไป มีหัวคิดที่พลิกแพลง มีความคิดลึกซึ้ง มักมีลางสังหรณ์แม่น มีความละเอียดรอบคอบ เข้าใจผู้อื่นได้ดี มีความทะเยอทะยานสูง เป็นคนมีความกระตือรือร้นมาก มั่นใจในตนเองสูง บุคคลเลขนี้ การงานจะประสบผลสำเร็จได้ดี โดยเฉพาะอย่างยิ่งหากวางแผนการทำงานแบบเป็นทีม มักจะได้เพื่อนร่วมงานดี และได้ลูกน้องดีช่วยส่งเสริม ผู้ใหญ่จะให้การสนับสนุนด้านการงานได้ดีมาก ชีวิตจะประสบความสำเร็จดีเยี่ยม เป็นนักคิดฝันแต่โครงการใหญ่ๆ,0,มีปัญหาด้านการเงิน ปัญหาด้านความรัก
21,ความพลิกผัน,เป็นคนมีเสน่ห์โดดเด่น เข้าสังคมเก่ง มีคนยกย่องให้เกียรติ อุปนิสัยมักเป็นคนซ่อนบุคลิกของตนเองได้อย่างแนบเนียน ยากที่ใครจะอ่านใจได้ การแสดงออกภายนอกมักจะดูนิ่มนวล โอนอ่อนผ่อนตาม แต่จริงๆแล้วภายในเป็นคนแข็งกล้า เด็ดเดี่ยวกล้าตัดสินใจ ทะเยอทะยาน ไขว่คว้าหาความสำเร็จ ชะตาชีวิตมักจะมีสิ่งไม่คาดคิดเกิดขึ้นแบบเฉียบพลัน มาเปลี่ยนวิถีชีวิตให้เปลี่ยนไปในทางตรงกันข้าม มีความไม่แน่นอนในชีวิตสูง,0,ประมาท ความเครียด
22,อ่อนไหวเพ้อฝัน,เป็นคนเพ้อฝัน มีอารมณ์อ่อนไหว ละเอียดอ่อน จิตใจมีเมตตา ชอบทำให้คนอื่นมีความสุข มีเสน่ห์ต่อคนรอบข้าง แต่หูเบา เชื่อคนง่าย หากหลงปักใจงมงายกับสิ่งใด มักถอนตัวยาก มักชอบเรื่องราวเร้นลับ ไสยศาสตร์มากกว่าทางพระทางเจ้า เชื่อแบบไม่มีเหตุผล เจ้าชะตาภายใต้อิทธิพลเลข ๒๒ มักเป็นคนช่างคิดช่างฝันมากกว่าเป็นนักปฏิบัติ ทำการงานสิ่งใดจึงไม่ค่อยประสบผลสำเร็จ ชอบสร้างวิมานในอากาศ ชอบสร้างภาพให้ดูดี แต่ไม่ได้ปฏิบัติจริง,1,ความรัก
23,เสน่ห์เมตตามหานิยม,เป็นเลขดี มักมีเสน่ห์รุนแรง เป็นที่ต้องตาต้องใจผู้ที่ได้พบเห็น มีเสน่ห์ดึงดูดใจเพศตรงข้าม มีคนเข้ามารักมาชอบมาก เป็นเลขที่โดดเด่นด้านเสน่ห์เมตตามหานิยม ถ้าเป็นสตรี มักมีผู้ใหญ่ให้ความเอ็นดูเมตตา อุปถัมป์ค้ำชู ส่งเสริมสนับสนุนเสมอ ไม่ตกอับ ในเรื่องของความรักมักมีคนเข้ามาให้เลือกเยอะ ด้านการศึกษา เจ้าชะตามักชอบในการศึกษาหาความรู้ มีสติปัญญาดี เฉลียวฉลาด สามารถจดจำสิ่งต่างๆได้อย่างรวดเร็ว ชีวิตจะประสบความสำเร็จเป็นอย่างดี,1,ความรัก
24,ความสุข ความสำเร็จ และการสนับสนุน,มีเสน่ห์ดึงดูดใจ ชอบและเข้าใจในศิลปะ ไม่ชอบแสดงอำนาจ เป็นบุคคลน่าสนใจน่าคบหา มีมิตรสหายมาก มักเป็นที่รักแก่บุคคลทั้งหลาย มักมีเพื่อนฝูงหรือกัลยาณมิตรให้การสนับสนุน อุปถัมภ์ ค้ำจุน บุคลิกสุภาพ นุ่มนวล อ่อนโยนโรแมนติก มีรสนิยมในการแต่งตัวดี ภูมิฐาน มีสติปัญญาเฉียบแหลม มีวาทะศิลป์ในการติดต่อสื่อสาร โน้มน้าวจิดใจคนอื่นได้ดี จิตวิทยาสูง สนใจใฝ่เรียนรู้ ชีวิตมักจะประสบความสำเร็จเป็นอย่างดี มีชื่อเสียงเป็นที่รู้จักในสังคม เป็นนักพูดชั้นดี เหมาะกับอาชีพเกือบทุกประเภท มักมีโชคดีเกี่ยวกับการเรื่องเงินๆทองๆ จะสามารถหามาได้โดยง่าย เป็นหมายเลขที่ดีที่สุดเลขหนึ่ง,1,ความรัก
25,ความสำเร็จที่ต้องฝ่าฟัน,เลข 2 ดาวจันทร์ จับคู่กับเลข 5 ดาวพฤหัส จัดเป็นดาวดาวศุภเคราะห์ทั้งคู่ แต่เนื่องจากผลรวม 2 กับ 5 คือเลข 7 ดาวเสาร์ มักจะต้องฝ่าผันอุปสรรคก่อน จึงจะมีความสำเร็จในชีวิต ได้รับความร่วมมือดี มีคนให้ความช่วยเหลือ ผู้ใหญ่คอยให้การอุปถัมภ์ ในด้านความรัก ก็มักจะลงตัวลุล่วงไปด้วยดี เพียงแต่การที่จะประสบความสำเร็จ ต้องอาศัยความขยันหมั่นเพียร มานะบากบั่นด้วยพลังความสามารถของตัวเองจึงจะบรรลุความสำเร็จดังที่ต้องการ,0,ไม่มี
26,รสนิยมสูง,เลข 2 ดาวจันทร์ และเลข 6 ดาวศุกร์ มาอยู่ด้วยกัน สื่อถึงความมีรสนิยมสูง มีเสน่ห์ น่าคบหา น่าใกล้ชิดละเอียดอ่อน ละมุนละไม มองโลกอย่างมีศิลปะ มีความสามารถในด้านศิลปะ ดาวศุกร์ยังส่งเสริมเรื่องการเงิน มักส่งเสริมให้หาทรัพย์ได้โดยง่ายอีกด้วย มักมีทรัพย์สินเงินทอง มีคนรักใคร่ สนับสนุน ไม่ขาดผู้อุปถัมภ์,1,การเงิน ความรัก
27,ความมุ่งมั่นสู่ความสำเร็จ,ดาวจันทร์เลข 2 ดาวเสาร์เลข 7 ส่งอิทธิพลให้ชีวิตพบกับความสำเร็จได้ โดยเป็นความสำเร็จที่เป็นผลมากจากความตั้งใจ วิริยะอุตสาหะ เป็นคนรอบคอบ และนักจัดการที่ดี มักจะมีความคิดเห็นเป็นของตนเอง การดำเนินชีวิตมักจะเป็นไปอย่างรอบคอบรัดกุม เข้มงวด และมักเอาจริงเอาจังกับชีวิตมาก จึงส่งผลทำให้เครียดไม่ค่อยมีความสุขกับความสำเร็จเท่าที่ควร ส่วนใหญ่ทุกข์ใจง่าย วุ่นวายกับการสร้างกฎเกณฑ์ต่างๆ ดวงชะตายังคงมีความผิดหวัง และมีมุมเศร้าอยู่บ้าง อาจจะต้องระวังการเจ็บป่วย และระวังอุบัติเหตุ ไม่ควรประมาท,0,ชีวิตอุปสรรค มีปัญหาด้านการเงิน ปัญหาด้านความรัก
28,ความแปรปรวน,ดาวจันทร์เลข 2 และดาวราหูเลข 8 ส่งผลให้เจ้าชะตาผู้ตกอยู่ใต้อิทธิพลของเลขนี้ ชอบคิดค้นสิ่งใหม่ๆ ไม่ชอบย่ำเท้าอยู่กับที่ ไม่ชอบสิ่งที่จำเจ เป็นคนเชื่อมั่นในตัวเองสูง ไม่ไว้ใจผู้อื่น มักคิดฝันการงานไว้มากมายแต่มักไม่ได้สานต่อตามแผนที่วางไว้ให้จบ เบื่อง่าย เป็นคนกล้าได้กล้าเสีย ชอบเรื่องการเสี่ยงดวง ชอบทำงานใหญ่ การดำเนินชีวิตไม่ค่อยเป็นระเบียบ ทำให้ชีวิตต้องเริ่มต้นใหม่อยู่บ่อยๆ,1,การเงิน การงาน
29, ศรัทธาและความสวยงาม,"มักเชื่อและสนใจในสิ่งศักดิ์สิทธิ์ หรือสิ่งลี้ลับ ขณะเดียวกันก็ชอบและสนใจเกี่ยวกับความสวยความงาม เจ้าของดวงชะตามักเป็นคนหน้าตาดี มีเสน่ห์อย่างลึกลับ เป็นคนมีจินตนาการสูง เป็นคนมองโลกในแง่ดี มีโลกส่วนตัวสูง ชอบสิ่งแปลก ๆ ใหม่ ๆ ชอบของโบราณ มักมีญาณหยั่งรู้ หรือลางสังหรณ์แม่นที่เกิดขึ้นจริง สนใจในศาสนาและสิ่งลึกลับ ชะตาชีวิตมักจะมีคนคอยช่วยเหลืออุปถัมภ์ค้ำชูอยู่เสมอ ,มักประสบความสำเร็จในเรื่องงานและการเงิน คิดงานเก่ง มีไอเดียดี แต่มีจุดอ่อนคือ มักเป็นคนขี้สงสาร และอารมณ์อ่อนไหวง่าย ",1,การงาน
